rank,lemma,pos,frequency,article,gender,genitive,plural,auxiliary,past_3sg,participle_ii,translation,cefr,theme
40,wissen,VERB,568390,,,,,haben,wusste,gewusst,to know,A1,common_verbs
41,nur,ADV,564245,,,,,,,,only,A1,function_words
42,da,ADV,564244,,,,,,,,there,A1,function_words
43,dir,PRON,554802,,,,,,,,you (dative),A1,function_words
44,sich,PRON,533395,,,,,,,,"himself, herself, itself, themselves",A1,function_words
45,uns,PRON,523604,,,,,,,,us,A1,function_words
46,tun,VERB,507584,,,,,haben,tat,getan,to do,A1,common_verbs
47,sehen,VERB,505596,,,,,haben,sah,gesehen,to see,A1,common_verbs
48,dieser,PRON,453180,,,,,,,,"this, that",A1,function_words
49,auch,ADV,449250,,,,,,,,"also, too",A1,function_words
50,schon,ADV,442343,,,,,,,,already,A1,function_words
51,als,ADP,440490,,,,,,,,as; than,A1,function_words
52,sollen,AUX,436700,,,,,haben,sollte,gesollt,shall; should,A1,function_words
53,mal,ADV,435631,,,,,,,,once; times,A1,time
54,jetzt,ADV,435411,,,,,,,,now,A1,time
55,ihn,PRON,435147,,,,,,,,him,A1,function_words
56,dann,ADV,429424,,,,,,,,then,A1,time
57,aus,ADP,425184,,,,,,,,from; out of,A1,function_words
58,um,ADP,422459,,,,,,,,around; about,A1,function_words
59,alle,PRON,389365,,,,,,,,all; everyone,A1,function_words
60,geben,VERB,383717,,,,,haben,gab,gegeben,to give,A1,common_verbs
61,doch,CCONJ,381456,,,,,,,,yet; but,A1,function_words
62,oder,CCONJ,341214,,,,,,,,or,A1,function_words
63,bei,ADP,330760,,,,,,,,at; with; near,A1,function_words
64,nach,ADP,326208,,,,,,,,after; to,A1,function_words
65,nichts,PRON,308672,,,,,,,,nothing,A1,function_words
66,denken,VERB,303897,,,,,haben,dachte,gedacht,to think,A1,common_verbs
67,man,PRON,300922,,,,,,,,one; people,A1,function_words
68,müssen,AUX,295567,,,,,haben,musste,gemusst,must; have to,A1,function_words
69,ihnen,PRON,292370,,,,,,,,them; to them,A1,function_words
70,wo,SCONJ,288363,,,,,,,,where,A1,function_words
71,etwas,PRON,286968,,,,,,,,something,A1,function_words
72,mehr,PRON,281301,,,,,,,,more,A1,function_words
73,also,ADV,276548,,,,,,,,so; thus; therefore,A1,function_words
74,Mann,NOUN,274904,der,m,Mannes,Männer,,,,the man,A1,family
75,aller,PRON,265499,,,,,,,,of all,A1,function_words
76,bitte,ADV,261548,,,,,,,,please,A1,communication
77,immer,ADV,260238,,,,,,,,always,A1,time
78,haben,AUX,252697,,,,,haben,hatte,gehabt,to have,A1,common_verbs
79,warum,ADV,251177,,,,,,,,why,A1,communication
80,vor,ADP,250364,,,,,,,,before; in front of,A1,function_words
81,los,ADV,242543,,,,,,,,off; let's go,A2,communication
82,wieder,ADV,240508,,,,,,,,again,A1,time
83,Danke,NOUN,227937,die,f,Danke,Danke,,,,the thanks,A1,greetings
84,sehr,ADV,226425,,,,,,,,very,A1,common_adjectives
85,denn,CCONJ,224543,,,,,,,,because; for,A1,function_words
86,müssen,AUX,218814,,,,,haben,musste,gemusst,must; to have to,A1,common_verbs
87,finden,VERB,218193,,,,,haben,fand,gefunden,to find,A1,common_verbs
88,ihm,PRON,217025,,,,,,,,him; to him,A1,function_words
89,gut,ADJ,215461,,,,,,,,good,A1,common_adjectives
90,vielleicht,ADV,212216,,,,,,,,perhaps; maybe,A1,communication
91,wer,PRON,210823,,,,,,,,who,A1,function_words
92,lassen,VERB,208057,,,,,haben,ließ,gelassen,to let; to allow,A2,common_verbs
93,euch,PRON,206931,,,,,,,,you (plural acc./dat.),A1,function_words
94,leben,VERB,205264,,,,,haben,lebte,gelebt,to live,A1,common_verbs
95,ein,PRON,202097,,,,,,,,one; a/an,A1,function_words
96,über,ADP,200486,,,,,,,,over; about,A1,function_words
97,okay,ADV,196794,,,,,,,,okay; alright,A1,communication
98,glauben,VERB,195757,,,,,haben,glaubte,geglaubt,to believe,A1,common_verbs
99,anderer,PRON,195190,,,,,,,,other; another,A1,function_words
100,nie,ADV,185925,,,,,,,,never,A1,time
101,wirklich,ADV,185497,,,,,,,,really,A1,common_adjectives
102,Frau,NOUN,180182,die,f,Frau,Frauen,,,,the woman,A1,family
103,viel,PRON,176767,,,,,,,,much,A1,common_adjectives
104,Weg,ADV,175124,,,,,,,,away,A2,travel
105,einfach,ADV,174152,,,,,,,,simply,A2,common_adjectives
106,Zeit,NOUN,170767,die,f,Zeit,Zeiten,,,,the time,A1,time
107,brauchen,VERB,166519,,,,,haben,brauchte,gebraucht,to need,A1,common_verbs
108,hören,VERB,161140,,,,,haben,hörte,gehört,to hear,A1,common_verbs
109,weil,SCONJ,159743,,,,,,,,because,A1,function_words
110,wollen,VERB,159106,,,,,haben,wollte,gewollt,to want,A1,common_verbs
111,warten,VERB,158414,,,,,haben,wartete,gewartet,to wait,A1,common_verbs
112,meinen,VERB,156723,,,,,haben,meinte,gemeint,to mean,A2,common_verbs
113,heute,ADV,154162,,,,,,,,today,A1,time
114,damit,ADV,150635,,,,,,,,with it,A2,function_words
115,reden,VERB,150121,,,,,haben,redete,geredet,to talk,A2,common_verbs
116,ganz,ADV,149683,,,,,,,,quite,A1,common_adjectives
117,jemand,PRON,148549,,,,,,,,someone,A2,function_words
118,nehmen,VERB,148212,,,,,haben,nahm,genommen,to take,A1,common_verbs
119,sicher,ADV,148101,,,,,,,,certainly,A2,common_adjectives
120,weißen,VERB,147614,,,,,haben,weißte,geweiß,to whiten,B2,common_verbs
121,kennen,VERB,147333,,,,,haben,kannte,gekannt,to know,A1,common_verbs
122,nun,ADV,143552,,,,,,,,now,A2,time
123,bringen,VERB,143524,,,,,haben,brachte,gebracht,to bring,A1,common_verbs
124,Jahr,NOUN,142325,das,n,Jahres,Jahre,,,,the year,A1,time
125,bis,ADP,142166,,,,,,,,until,A1,function_words
126,verstehen,VERB,139352,,,,,haben,verstand,verstanden,to understand,A1,common_verbs
127,können,VERB,136795,,,,,haben,konnte,gekonnt,to be able to,A1,common_verbs
128,zurück,ADV,133326,,,,,,,,back,A1,function_words
129,Tag,NOUN,132670,der,m,Tages,Tage,,,,the day,A1,time
130,stehen,VERB,129477,,,,,haben,stand,gestanden,to stand,A1,common_verbs
131,Gott,NOUN,127498,der,m,Gottes,Götter,,,,the God,B1,emotions
132,Leute,NOUN,126128,die,f,Leute,Leute,,,,the people,A1,common_verbs
133,helfen,VERB,120366,,,,,haben,half,geholfen,to help,A1,common_verbs
134,genau,ADV,120154,,,,,,,,exactly,A2,function_words
135,bleiben,VERB,119763,,,,,sein,blieb,geblieben,to stay,A1,common_verbs
136,Vater,NOUN,118267,der,m,Vaters,Väter,,,,the father,A1,family
137,passieren,VERB,115606,,,,,sein,passierte,passiert,to happen,A2,common_verbs
138,lassen,VERB,115316,,,,,haben,ließ,gelassen,to let,A1,common_verbs
139,schön,ADJ,115130,,,,,,,,beautiful,A1,common_adjectives
140,klar,ADV,114724,,,,,,,,clearly,A2,function_words
141,Freund,NOUN,113499,der,m,Freundes,Freunde,,,,the friend,A1,family
142,halten,VERB,113102,,,,,haben,hielt,gehalten,to hold,A1,common_verbs
143,morgen,ADV,112042,,,,,,,,tomorrow,A1,time
144,sprechen,VERB,110756,,,,,haben,sprach,gesprochen,to speak,A1,common_verbs
145,ganz,ADJ,110319,,,,,,,,whole,A1,common_adjectives
146,möchten,AUX,107206,,,,,haben,mochte,gemocht,would like to,A1,common_verbs
147,gehören,VERB,106581,,,,,haben,gehörte,gehört,to belong to,A2,common_verbs
148,ab,ADP,104853,,,,,,,,from,A1,function_words
149,gerade,ADV,104130,,,,,,,,just,A2,function_words
150,durch,ADP,101045,,,,,,,,through,A1,function_words
151,wohl,ADV,100488,,,,,,,,probably,A2,function_words
152,letzter,ADJ,99597,,,,,,,,last,A1,time
153,Liebe,NOUN,99301,die,f,Liebe,Lieben,,,,the love,A1,emotions
154,dürfen,AUX,98906,,,,,haben,durfte,gedurft,may,A1,common_verbs
155,Geld,NOUN,98586,das,n,Geldes,Gelder,,,,the money,A1,money
156,neu,ADJ,97511,,,,,,,,new,A1,common_adjectives
157,ob,SCONJ,97001,,,,,,,,whether,A1,function_words
158,klein,ADJ,96978,,,,,,,,small,A1,common_adjectives
159,kein,PRON,96394,,,,,,,,no,A1,function_words
160,Mutter,NOUN,95349,die,f,Mutter,Mütter,,,,the mother,A1,family
161,raus,ADV,95012,,,,,,,,out,A1,function_words
162,Mensch,NOUN,94724,der,m,Menschen,Menschen,,,,the person,A1,common_adjectives
163,versuchen,VERB,94252,,,,,haben,versuchte,versucht,to try,A2,common_verbs
164,töten,VERB,93164,,,,,haben,tötete,getötet,to kill,B1,common_verbs
165,heißen,VERB,92924,,,,,haben,hieß,geheißen,to be called,A1,common_verbs
166,müssen,VERB,92429,,,,,haben,musste,gemusst,must,A1,common_verbs
167,wieso,ADV,92191,,,,,,,,why,A1,communication
168,Sir,NOUN,92012,der,m,Sirs,Sirs,,,,the sir,B1,communication
169,groß,ADJ,90459,,,,,,,,big,A1,common_adjectives
170,fragen,VERB,90384,,,,,haben,fragte,gefragt,to ask,A1,common_verbs
171,selbst,ADV,90135,,,,,,,,oneself,A2,function_words
172,ohne,ADP,88934,,,,,,,,without,A1,function_words
173,her,ADP,87571,,,,,,,,here,A1,function_words
174,sagen,VERB,87203,,,,,haben,sagte,gesagt,to say,A1,common_verbs
175,Nacht,NOUN,85102,die,f,Nacht,Nächte,,,,the night,A1,time
176,beide,PRON,84721,,,,,,,,both,A1,common_adjectives
177,arbeiten,VERB,83959,,,,,haben,arbeitete,gearbeitet,to work,A1,work
178,werden,AUX,83791,,,,,sein,wurde,geworden,will (auxiliary),A1,function_words
179,natürlich,ADV,83078,,,,,,,,"naturally, of course",A2,function_words
180,lange,ADV,82872,,,,,,,,"long, for a long time",A1,time
181,sterben,VERB,82488,,,,,sein,starb,gestorben,to die,A2,body_health
182,suchen,VERB,82345,,,,,haben,suchte,gesucht,"to search, to look for",A1,common_verbs
183,ach,ADV,82252,,,,,,,,"oh, ah",A2,function_words
184,gar,ADV,82082,,,,,,,,"at all, even",B1,function_words
185,fahren,VERB,81829,,,,,sein,fuhr,gefahren,"to drive, to travel",A1,travel
186,schnell,ADV,81791,,,,,,,,"quickly, fast",A1,common_adjectives
187,Name,NOUN,81666,der,m,Namens,Namen,,,,the name,A1,communication
188,bekommen,VERB,81657,,,,,haben,bekam,bekommen,"to get, to receive",A1,common_verbs
189,Sache,NOUN,81509,die,f,Sache,Sachen,,,,"the thing, the matter",A1,common_adjectives
190,spät,ADV,81154,,,,,,,,late,A1,time
191,richtig,ADV,80639,,,,,,,,"right, correct, properly",A1,common_adjectives
192,dort,ADV,79951,,,,,,,,there,A1,function_words
193,weiter,ADV,79598,,,,,,,,"further, on",A1,function_words
194,niemand,PRON,79180,,,,,,,,"nobody, no one",A1,function_words
195,treffen,VERB,78944,,,,,haben,traf,getroffen,"to meet, to hit",A1,common_verbs
196,gleich,ADV,78534,,,,,,,,"immediately, right away, same",A1,time
197,seit,ADP,78517,,,,,,,,"since, for",A1,time
198,fallen,VERB,78111,,,,,sein,fiel,gefallen,"to fall, to like",A1,common_verbs
199,Recht,NOUN,77861,das,n,Rechts,Rechte,,,,"the right, the law",B1,work
200,Haus,NOUN,77828,das,n,Hauses,Häuser,,,,the house,A1,home
201,Problem,NOUN,76887,das,n,Problems,Probleme,,,,the problem,A1,common_verbs
202,laufen,VERB,76822,,,,,sein,lief,gelaufen,to run,A1,common_verbs
203,Ordnung,NOUN,76635,die,f,Ordnung,Ordnungen,,,,the order,B1,common_adjectives
204,davon,ADV,75947,,,,,,,,of it,A2,function_words
205,dafür,ADV,75302,,,,,,,,for it,A2,function_words
206,erzählen,VERB,75301,,,,,haben,erzählte,erzählt,to tell,A1,common_verbs
207,spielen,VERB,74841,,,,,haben,spielte,gespielt,to play,A1,sports
208,Kind,NOUN,74256,das,n,Kindes,Kinder,,,,the child,A1,family
209,Mädchen,NOUN,74196,das,n,Mädchens,Mädchen,,,,the girl,A1,family
210,wegen,ADP,74062,,,,,,,,because of,A2,function_words
211,stimmen,VERB,74052,,,,,haben,stimmte,gestimmt,to be correct,B1,common_verbs
212,essen,VERB,72837,,,,,haben,aß,gegessen,to eat,A1,food_drink
213,hin,ADV,72272,,,,,,,,there,A2,function_words
214,jeder,PRON,71408,,,,,,,,every,A2,function_words
215,Abend,NOUN,71375,der,m,Abends,Abende,,,,the evening,A1,time
216,stellen,VERB,71164,,,,,haben,stellte,gestellt,to put,A1,common_verbs
217,vieler,PRON,70751,,,,,,,,many,A2,function_words
218,sorgen,VERB,70200,,,,,haben,sorgte,gesorgt,to care,B1,emotions
219,deinen,PRON,69621,,,,,,,,your,A1,function_words
220,unter,ADP,68162,,,,,,,,under,A1,function_words
221,Angst,NOUN,68097,die,f,Angst,Ängste,,,,the fear,A2,emotions
222,Herr,NOUN,67840,der,m,Herrn,Herren,,,,the gentleman,A1,communication
223,verlieren,VERB,67610,,,,,haben,verlor,verloren,to lose,A2,common_verbs
224,verdammen,VERB,67017,,,,,haben,verdammte,verdammt,to damn,B2,emotions
225,zusammen,ADV,66885,,,,,,,,together,A1,function_words
226,Welt,NOUN,66821,die,f,Welt,Welten,,,,the world,A1,nature
227,mögen,AUX,66316,,,,,haben,mochte,gemocht,to like,A1,emotions
228,jung,ADJ,65982,,,,,,,,young,A1,common_adjectives
229,tot,ADV,64995,,,,,,,,dead,A2,common_adjectives
230,liegen,VERB,64742,,,,,haben,lag,gelegen,to lie,A1,common_verbs
231,holen,VERB,64660,,,,,haben,holte,geholt,to fetch,A1,common_verbs
232,erst,ADV,64092,,,,,,,,first,A1,time
233,rein,ADV,64028,,,,,,,,in,A1,function_words
234,Moment,NOUN,63364,der,m,Moments,Momente,,,,the moment,A2,time
235,genug,ADV,62381,,,,,,,,enough,A1,function_words
236,Scheiße,ADV,61982,,,,,,,,shit,B1,communication
237,Familie,NOUN,61973,die,f,Familie,Familien,,,,the family,A1,family
238,gegen,ADP,61438,,,,,,,,against,A1,function_words
239,sonst,ADV,60478,,,,,,,,otherwise,A2,function_words
240,Musik,NOUN,59500,die,f,Musik,Musiken,,,,the music,A1,communication
241,Arbeit,NOUN,59309,die,f,Arbeit,Arbeiten,,,,the work,A1,work
242,lieb,ADV,59277,,,,,,,,dear,A2,emotions
243,dabei,ADV,57923,,,,,,,,thereby,A2,function_words
244,Hand,NOUN,57892,die,f,Hand,Hände,,,,the hand,A1,body_health
245,schaffen,VERB,57683,,,,,haben,schuf,geschaffen,to create,A2,common_verbs
246,lang,ADV,57600,,,,,,,,long,A1,common_adjectives
247,zeigen,VERB,57291,,,,,haben,zeigte,gezeigt,to show,A1,common_verbs
248,Stunde,NOUN,56909,die,f,Stunde,Stunden,,,,the hour,A1,time
249,sofort,ADV,56605,,,,,,,,immediately,A2,time
250,fühlen,VERB,56496,,,,,haben,fühlte,gefühlt,to feel,A1,emotions
251,rufen,VERB,56442,,,,,haben,rief,gerufen,to call,A1,common_verbs
252,bevor,SCONJ,56210,,,,,,,,before,A2,function_words
253,entschuldigen,VERB,55431,,,,,haben,entschuldigte,entschuldigt,to excuse,A1,communication
254,einmal,ADV,55398,,,,,,,,once,A1,time
255,Woche,NOUN,54623,die,f,Woche,Wochen,,,,the week,A1,time
256,Sohn,NOUN,54396,der,m,Sohnes,Söhne,,,,the son,A1,family
257,wann,SCONJ,54105,,,,,,,,when,A1,function_words
258,Auge,NOUN,54068,das,n,Auges,Augen,,,,the eye,A1,body_health
259,Minute,NOUN,53972,die,f,Minute,Minuten,,,,the minute,A1,time
260,fertig,ADV,53738,,,,,,,,finished,A1,common_adjectives
261,halt,ADV,53723,,,,,,,,just,B1,function_words
262,allein,ADV,53720,,,,,,,,alone,A1,common_adjectives
263,Fall,NOUN,53561,der,m,Falls,Fälle,,,,the case,B1,common_verbs
264,lieben,VERB,53062,,,,,haben,liebte,geliebt,to love,A1,emotions
265,Hilfe,NOUN,52679,die,f,Hilfe,Hilfen,,,,the help,A1,communication
266,Bruder,NOUN,52378,der,m,Bruders,Brüder,,,,the brother,A1,family
267,sein,AUX,52211,,,,,sein,war,gewesen,to be,A1,common_verbs
268,gern,ADV,52147,,,,,,,,gladly,A1,emotions
269,darüber,ADV,51711,,,,,,,,about it,A2,function_words
270,sehen,VERB,51444,,,,,haben,sah,gesehen,to see,A1,common_verbs
271,wissen,AUX,50878,,,,,haben,wusste,gewusst,to know,A1,common_verbs
272,wahr,ADV,50700,,,,,,,,true,A2,common_adjectives
273,dazu,ADV,50144,,,,,,,,for that,A2,function_words
274,daran,ADV,50081,,,,,,,,on it,A2,function_words
275,nennen,VERB,49570,,,,,haben,nannte,genannt,to call,A1,common_verbs
276,dank,ADP,49155,,,,,,,,thanks to,B1,function_words
277,hoffen,VERB,48874,,,,,haben,hoffte,gehofft,to hope,A2,emotions
278,früh,ADV,48788,,,,,,,,early,A1,time
279,dein,PRON,48756,,,,,,,,your,A1,function_words
280,kriegen,VERB,48340,,,,,haben,kriegte,gekriegt,to get,A2,common_verbs
281,egal,ADV,48287,,,,,,,,"equal, it doesn't matter",A2,common_adjectives
282,vergessen,VERB,48103,,,,,haben,vergaß,vergessen,to forget,A2,common_verbs
283,toll,ADV,47627,,,,,,,,"great, awesome",A2,common_adjectives
284,Frage,NOUN,47512,die,f,Frage,Fragen,,,,the question,A1,communication
285,Stadt,NOUN,47253,die,f,Stadt,Städte,,,,the city,A1,travel
286,sieh,VERB,47133,,,,,haben,sah,gesehen,see (imperative),A1,common_verbs
287,echt,ADV,46884,,,,,,,,"really, genuinely",A2,common_adjectives
288,gib,VERB,46863,,,,,haben,gab,gegeben,give (imperative),A1,common_verbs
289,eigentlich,ADV,46744,,,,,,,,actually,A2,function_words
290,ziehen,VERB,46564,,,,,haben,zog,gezogen,to pull,A2,common_verbs
291,Uhr,NOUN,46117,die,f,Uhr,Uhren,,,,"the clock, watch",A1,time
292,der,PRON,46018,,,,,,,,"that, the one",A1,function_words
293,schlafen,VERB,45989,,,,,haben,schlief,geschlafen,to sleep,A1,common_verbs
294,Tür,NOUN,45636,die,f,Tür,Türen,,,,the door,A1,home
295,Kopf,NOUN,44851,der,m,Kopfes,Köpfe,,,,the head,A1,body_health
296,setzen,VERB,44803,,,,,haben,setzte,gesetzt,"to sit, to put",A1,common_verbs
297,erinnern,VERB,44797,,,,,haben,erinnerte,erinnert,"to remind, to remember",A2,emotions
298,schreiben,VERB,44416,,,,,haben,schrieb,geschrieben,to write,A1,common_verbs
299,keiner,PRON,44311,,,,,,,,"no one, none",A1,function_words
300,Glück,NOUN,44295,das,n,Glücks,Glücke,,,,"the luck, happiness",A2,emotions
301,Wort,NOUN,44005,das,n,Wortes,Wörter,,,,the word,A1,communication
302,einzig,ADJ,43880,,,,,,,,"only, sole",B1,common_adjectives
303,retten,VERB,43340,,,,,haben,rettete,gerettet,"to rescue, to save",A2,common_verbs
304,darauf,ADV,43236,,,,,,,,"on it, thereupon",B1,function_words
305,Ende,NOUN,43216,das,n,Endes,Enden,,,,the end,A1,time
306,sitzen,VERB,43153,,,,,haben,saß,gesessen,to sit,A1,common_verbs
307,groß,ADJ,43065,,,,,,,,"big, large, great",A1,common_adjectives
308,bald,ADV,42834,,,,,,,,soon,A1,time
309,müssen,AUX,42598,,,,,haben,musste,gemusst,"must, to have to",A1,function_words
310,Ding,NOUN,42560,das,n,Dinges,Dinge,,,,the thing,A1,common_verbs
311,meines,ADV,42522,,,,,,,,in my opinion,A2,communication
312,bedeuten,VERB,42377,,,,,haben,bedeutete,bedeutet,"to mean, to signify",A2,common_verbs
313,Idee,NOUN,42051,die,f,Idee,Ideen,,,,the idea,A2,education
314,bereit,ADJ,41925,,,,,,,,ready,A2,common_adjectives
315,Waffe,NOUN,41872,die,f,Waffe,Waffen,,,,the weapon,B1,work
316,Schwester,NOUN,41829,die,f,Schwester,Schwestern,,,,the sister,A1,family
317,weit,ADV,41558,,,,,,,,"far, wide",A1,common_adjectives
318,Ahnung,NOUN,41525,die,f,Ahnung,Ahnungen,,,,"the idea, the notion",B1,emotions
319,lernen,VERB,41497,,,,,haben,lernte,gelernt,to learn,A1,education
320,Bisschen,PRON,41471,,,,,,,,"a little, a bit",A1,function_words
321,verschwinden,VERB,40836,,,,,sein,verschwand,verschwunden,to disappear,A2,common_verbs
322,Monat,NOUN,40668,der,m,Monats,Monate,,,,the month,A1,time
323,Polizei,NOUN,40572,die,f,Polizei,Polizeien,,,,the police,A2,work
324,kümmern,VERB,40201,,,,,haben,kümmerte,gekümmert,"to care, to worry about",A2,common_verbs
325,draußen,ADV,40075,,,,,,,,outside,A1,function_words
326,Erster,ADJ,39807,,,,,,,,first,A1,numbers
327,fast,ADV,39542,,,,,,,,almost,A1,function_words
328,klein,ADV,39521,,,,,,,,small,A1,common_adjectives
329,runter,ADV,39290,,,,,,,,down,A1,function_words
330,führen,VERB,39271,,,,,haben,führte,geführt,to lead,B1,common_verbs
331,verlassen,VERB,39145,,,,,haben,verließ,verlassen,to leave,A2,common_verbs
332,Tod,NOUN,39048,der,m,Todes,Tode,,,,the death,B1,body_health
333,Eigen,ADJ,38968,,,,,,,,own,A2,common_adjectives
334,vorbei,ADV,38763,,,,,,,,past,A2,function_words
335,kurz,ADV,38742,,,,,,,,short,A1,common_adjectives
336,gerne,ADV,38739,,,,,,,,gladly,A1,emotions
337,nett,ADV,38631,,,,,,,,nice,A1,common_adjectives
338,scheinen,VERB,38624,,,,,haben,schien,geschienen,to seem,B1,common_verbs
339,dran,ADV,38593,,,,,,,,on it,A2,function_words
340,einiger,PRON,38562,,,,,,,,some,A2,function_words
341,Erster,PRON,38551,,,,,,,,the first one,A2,numbers
342,Grund,NOUN,38537,der,m,Grundes,Gründe,,,,the reason,A2,communication
343,kaufen,VERB,38364,,,,,haben,kaufte,gekauft,to buy,A1,common_verbs
344,Land,NOUN,38275,das,n,Landes,Länder,,,,the country,A1,travel
345,Mom,NOUN,38250,die,f,Mom,Moms,,,,the mom,A1,family
346,lesen,VERB,38184,,,,,haben,las,gelesen,to read,A1,common_verbs
347,verrückt,ADV,38126,,,,,,,,crazy,A2,emotions
348,ruhig,ADV,38069,,,,,,,,quiet,A2,common_adjectives
349,hinter,ADP,37964,,,,,,,,behind,A1,function_words
350,tragen,VERB,37595,,,,,haben,trug,getragen,to carry,A1,common_verbs
351,darum,ADV,37424,,,,,,,,"therefore, around that",A2,function_words
352,ziemlich,ADV,37404,,,,,,,,"quite, rather",A2,common_adjectives
353,Herz,NOUN,37400,das,n,Herzens,Herzen,,,,the heart,A1,body_health
354,Tochter,NOUN,37375,die,f,Tochter,Töchter,,,,the daughter,A1,family
355,bestimmen,VERB,37046,,,,,haben,bestimmte,bestimmt,"to determine, to decide",B1,common_verbs
356,schwer,ADV,36953,,,,,,,,"heavily, with difficulty",A2,common_adjectives
357,anrufen,VERB,36952,,,,,haben,rief an,angerufen,to call (telephone),A2,communication
358,drin,ADV,36941,,,,,,,,"in it, inside",A2,function_words
359,hoch,ADV,36911,,,,,,,,"high, highly",A2,common_adjectives
360,solltest,VERB,36770,,,,,haben,sollte,gesollt,should (2nd person singular past),A1,common_verbs
361,sogar,ADV,36650,,,,,,,,"even, even so",B1,function_words
362,Kerl,NOUN,36512,der,m,Kerls,Kerle,,,,"the guy, the fellow",B1,communication
363,reichen,VERB,36455,,,,,haben,reichte,gereicht,"to reach, to suffice",A2,common_verbs
364,je,ADV,36205,,,,,,,,"ever, each",B1,function_words
365,woher,ADV,36061,,,,,,,,"where from, whence",A1,communication
366,umbringen,VERB,35762,,,,,haben,brachte um,umgebracht,"to kill, to do away with",B2,common_verbs
367,überhaupt,ADV,35566,,,,,,,,"at all, in general",A2,function_words
368,alt,ADJ,35502,,,,,,,,old,A1,common_adjectives
369,Seite,NOUN,35463,die,f,Seite,Seiten,,,,"the page, the side",A1,education
370,lachen,VERB,35398,,,,,haben,lachte,gelacht,to laugh,A1,emotions
371,kommsen,VERB,34951,,,,,sein,kam,gekommen,to come,A1,common_verbs
372,Ort,NOUN,34943,der,m,Ortes,Orte,,,,"the place, the location",A2,travel
373,Mama,NOUN,34883,die,f,Mama,Mamas,,,,"the mum, the mother",A1,family
374,schlagen,VERB,34798,,,,,haben,schlug,geschlagen,"to hit, to beat",A2,common_verbs
375,Ruhe,NOUN,34794,die,f,Ruhe,Ruhen,,,,"the rest, the peace",A2,emotions
376,wichtig,ADV,34672,,,,,,,,important,A1,common_adjectives
377,trinken,VERB,34579,,,,,haben,trank,getrunken,to drink,A1,food_drink
378,schlecht,ADV,34552,,,,,,,,bad,A1,common_adjectives
379,gewinnen,VERB,34443,,,,,haben,gewann,gewonnen,to win,A2,sports
380,oben,ADV,34115,,,,,,,,above,A1,function_words
381,gestern,ADV,34095,,,,,,,,yesterday,A1,time
382,Schatz,NOUN,34026,der,m,Schatzes,Schätze,,,,the treasure,A2,nature
383,wagen,VERB,33933,,,,,haben,wagte,gewagt,to dare,B1,common_verbs
384,endlich,ADV,33924,,,,,,,,finally,A2,time
