lemma,pos,rank,form_text,morphology,is_primary
Vater,NOUN,136,Vaters,genitive_singular,False
Vater,NOUN,136,Väter,nominative_plural,False
passieren,VERB,137,passieren,lemma,True
passieren,VERB,137,passierte,preterite_3sg,False
passieren,VERB,137,passiert,participle_ii,False
lassen,VERB,138,lassen,lemma,True
lassen,VERB,138,ließ,preterite_3sg,False
lassen,VERB,138,gelassen,participle_ii,False
schön,ADJ,139,schön,lemma,True
klar,ADV,140,klar,lemma,True
Freund,NOUN,141,Freund,lemma,True
Freund,NOUN,141,Freundes,genitive_singular,False
Freund,NOUN,141,Freunde,nominative_plural,False
halten,VERB,142,halten,lemma,True
halten,VERB,142,hielt,preterite_3sg,False
halten,VERB,142,gehalten,participle_ii,False
morgen,ADV,143,morgen,lemma,True
sprechen,VERB,144,sprechen,lemma,True
sprechen,VERB,144,sprach,preterite_3sg,False
sprechen,VERB,144,gesprochen,participle_ii,False
ganz,ADJ,145,ganz,lemma,True
möchten,AUX,146,möchten,lemma,True
möchten,AUX,146,mochte,preterite_3sg,False
möchten,AUX,146,gemocht,participle_ii,False
gehören,VERB,147,gehören,lemma,True
gehören,VERB,147,gehörte,preterite_3sg,False
gehören,VERB,147,gehört,participle_ii,False
ab,ADP,148,ab,lemma,True
gerade,ADV,149,gerade,lemma,True
durch,ADP,150,durch,lemma,True
wohl,ADV,151,wohl,lemma,True
letzter,ADJ,152,letzter,lemma,True
Liebe,NOUN,153,Liebe,lemma,True
Liebe,NOUN,153,Liebe,genitive_singular,False
Liebe,NOUN,153,Lieben,nominative_plural,False
dürfen,AUX,154,dürfen,lemma,True
dürfen,AUX,154,durfte,preterite_3sg,False
dürfen,AUX,154,gedurft,participle_ii,False
Geld,NOUN,155,Geld,lemma,True
Geld,NOUN,155,Geldes,genitive_singular,False
Geld,NOUN,155,Gelder,nominative_plural,False
neu,ADJ,156,neu,lemma,True
ob,SCONJ,157,ob,lemma,True
klein,ADJ,158,klein,lemma,True
kein,PRON,159,kein,lemma,True
Mutter,NOUN,160,Mutter,lemma,True
Mutter,NOUN,160,Mutter,genitive_singular,False
Mutter,NOUN,160,Mütter,nominative_plural,False
raus,ADV,161,raus,lemma,True
Mensch,NOUN,162,Mensch,lemma,True
Mensch,NOUN,162,Menschen,genitive_singular,False
Mensch,NOUN,162,Menschen,nominative_plural,False
versuchen,VERB,163,versuchen,lemma,True
versuchen,VERB,163,versuchte,preterite_3sg,False
versuchen,VERB,163,versucht,participle_ii,False
töten,VERB,164,töten,lemma,True
töten,VERB,164,tötete,preterite_3sg,False
töten,VERB,164,getötet,participle_ii,False
heißen,VERB,165,heißen,lemma,True
heißen,VERB,165,hieß,preterite_3sg,False
heißen,VERB,165,geheißen,participle_ii,False
müssen,VERB,166,müssen,lemma,True
müssen,VERB,166,musste,preterite_3sg,False
müssen,VERB,166,gemusst,participle_ii,False
wieso,ADV,167,wieso,lemma,True
Sir,NOUN,168,Sir,lemma,True
Sir,NOUN,168,Sirs,genitive_singular,False
Sir,NOUN,168,Sirs,nominative_plural,False
groß,ADJ,169,groß,lemma,True
fragen,VERB,170,fragen,lemma,True
fragen,VERB,170,fragte,preterite_3sg,False
fragen,VERB,170,gefragt,participle_ii,False
selbst,ADV,171,selbst,lemma,True
ohne,ADP,172,ohne,lemma,True
her,ADP,173,her,lemma,True
sagen,VERB,174,sagen,lemma,True
sagen,VERB,174,sagte,preterite_3sg,False
sagen,VERB,174,gesagt,participle_ii,False
Nacht,NOUN,175,Nacht,lemma,True
Nacht,NOUN,175,Nacht,genitive_singular,False
Nacht,NOUN,175,Nächte,nominative_plural,False
beide,PRON,176,beide,lemma,True
arbeiten,VERB,177,arbeiten,lemma,True
arbeiten,VERB,177,arbeitete,preterite_3sg,False
arbeiten,VERB,177,gearbeitet,participle_ii,False
werden,AUX,178,werden,lemma,True
werden,AUX,178,wurde,preterite_3sg,False
werden,AUX,178,geworden,participle_ii,False
natürlich,ADV,179,natürlich,lemma,True
lange,ADV,180,lange,lemma,True
sterben,VERB,181,sterben,lemma,True
sterben,VERB,181,starb,preterite_3sg,False
sterben,VERB,181,gestorben,participle_ii,False
suchen,VERB,182,suchen,lemma,True
suchen,VERB,182,suchte,preterite_3sg,False
suchen,VERB,182,gesucht,participle_ii,False
ach,ADV,183,ach,lemma,True
gar,ADV,184,gar,lemma,True
fahren,VERB,185,fahren,lemma,True
fahren,VERB,185,fuhr,preterite_3sg,False
fahren,VERB,185,gefahren,participle_ii,False
schnell,ADV,186,schnell,lemma,True
Name,NOUN,187,Name,lemma,True
Name,NOUN,187,Namens,genitive_singular,False
Name,NOUN,187,Namen,nominative_plural,False
bekommen,VERB,188,bekommen,lemma,True
bekommen,VERB,188,bekam,preterite_3sg,False
bekommen,VERB,188,bekommen,participle_ii,False
Sache,NOUN,189,Sache,lemma,True
Sache,NOUN,189,Sache,genitive_singular,False
Sache,NOUN,189,Sachen,nominative_plural,False
spät,ADV,190,spät,lemma,True
richtig,ADV,191,richtig,lemma,True
dort,ADV,192,dort,lemma,True
weiter,ADV,193,weiter,lemma,True
niemand,PRON,194,niemand,lemma,True
treffen,VERB,195,treffen,lemma,True
treffen,VERB,195,traf,preterite_3sg,False
treffen,VERB,195,getroffen,participle_ii,False
gleich,ADV,196,gleich,lemma,True
seit,ADP,197,seit,lemma,True
fallen,VERB,198,fallen,lemma,True
fallen,VERB,198,fiel,preterite_3sg,False
fallen,VERB,198,gefallen,participle_ii,False
Recht,NOUN,199,Recht,lemma,True
Recht,NOUN,199,Rechts,genitive_singular,False
Recht,NOUN,199,Rechte,nominative_plural,False
Haus,NOUN,200,Haus,lemma,True
Haus,NOUN,200,Hauses,genitive_singular,False
Haus,NOUN,200,Häuser,nominative_plural,False
Problem,NOUN,201,Problem,lemma,True
Problem,NOUN,201,Problems,genitive_singular,False
Problem,NOUN,201,Probleme,nominative_plural,False
laufen,VERB,202,laufen,lemma,True
laufen,VERB,202,lief,preterite_3sg,False
laufen,VERB,202,gelaufen,participle_ii,False
Ordnung,NOUN,203,Ordnung,lemma,True
Ordnung,NOUN,203,Ordnung,genitive_singular,False
Ordnung,NOUN,203,Ordnungen,nominative_plural,False
davon,ADV,204,davon,lemma,True
dafür,ADV,205,dafür,lemma,True
erzählen,VERB,206,erzählen,lemma,True
erzählen,VERB,206,erzählte,preterite_3sg,False
erzählen,VERB,206,erzählt,participle_ii,False
spielen,VERB,207,spielen,lemma,True
spielen,VERB,207,spielte,preterite_3sg,False
spielen,VERB,207,gespielt,participle_ii,False
Kind,NOUN,208,Kind,lemma,True
Kind,NOUN,208,Kindes,genitive_singular,False
Kind,NOUN,208,Kinder,nominative_plural,False
Mädchen,NOUN,209,Mädchen,lemma,True
Mädchen,NOUN,209,Mädchens,genitive_singular,False
Mädchen,NOUN,209,Mädchen,nominative_plural,False
wegen,ADP,210,wegen,lemma,True
stimmen,VERB,211,stimmen,lemma,True
stimmen,VERB,211,stimmte,preterite_3sg,False
stimmen,VERB,211,gestimmt,participle_ii,False
essen,VERB,212,essen,lemma,True
essen,VERB,212,aß,preterite_3sg,False
essen,VERB,212,gegessen,participle_ii,False
hin,ADV,213,hin,lemma,True
jeder,PRON,214,jeder,lemma,True
Abend,NOUN,215,Abend,lemma,True
Abend,NOUN,215,Abends,genitive_singular,False
Abend,NOUN,215,Abende,nominative_plural,False
stellen,VERB,216,stellen,lemma,True
stellen,VERB,216,stellte,preterite_3sg,False
stellen,VERB,216,gestellt,participle_ii,False
vieler,PRON,217,vieler,lemma,True
sorgen,VERB,218,sorgen,lemma,True
sorgen,VERB,218,sorgte,preterite_3sg,False
sorgen,VERB,218,gesorgt,participle_ii,False
deinen,PRON,219,deinen,lemma,True
unter,ADP,220,unter,lemma,True
Angst,NOUN,221,Angst,lemma,True
Angst,NOUN,221,Angst,genitive_singular,False
Angst,NOUN,221,Ängste,nominative_plural,False
Herr,NOUN,222,Herr,lemma,True
Herr,NOUN,222,Herrn,genitive_singular,False
Herr,NOUN,222,Herren,nominative_plural,False
verlieren,VERB,223,verlieren,lemma,True
verlieren,VERB,223,verlor,preterite_3sg,False
verlieren,VERB,223,verloren,participle_ii,False
verdammen,VERB,224,verdammen,lemma,True
verdammen,VERB,224,verdammte,preterite_3sg,False
verdammen,VERB,224,verdammt,participle_ii,False
zusammen,ADV,225,zusammen,lemma,True
Welt,NOUN,226,Welt,lemma,True
Welt,NOUN,226,Welt,genitive_singular,False
Welt,NOUN,226,Welten,nominative_plural,False
mögen,AUX,227,mögen,lemma,True
mögen,AUX,227,mochte,preterite_3sg,False
mögen,AUX,227,gemocht,participle_ii,False
jung,ADJ,228,jung,lemma,True
tot,ADV,229,tot,lemma,True
liegen,VERB,230,liegen,lemma,True
liegen,VERB,230,lag,preterite_3sg,False
liegen,VERB,230,gelegen,participle_ii,False
holen,VERB,231,holen,lemma,True
holen,VERB,231,holte,preterite_3sg,False
holen,VERB,231,geholt,participle_ii,False
erst,ADV,232,erst,lemma,True
rein,ADV,233,rein,lemma,True
Moment,NOUN,234,Moment,lemma,True
Moment,NOUN,234,Moments,genitive_singular,False
Moment,NOUN,234,Momente,nominative_plural,False
genug,ADV,235,genug,lemma,True
Scheiße,ADV,236,Scheiße,lemma,True
Familie,NOUN,237,Familie,lemma,True
Familie,NOUN,237,Familie,genitive_singular,False
Familie,NOUN,237,Familien,nominative_plural,False
gegen,ADP,238,gegen,lemma,True
sonst,ADV,239,sonst,lemma,True
Musik,NOUN,240,Musik,lemma,True
Musik,NOUN,240,Musik,genitive_singular,False
Musik,NOUN,240,Musiken,nominative_plural,False
Arbeit,NOUN,241,Arbeit,lemma,True
Arbeit,NOUN,241,Arbeit,genitive_singular,False
Arbeit,NOUN,241,Arbeiten,nominative_plural,False
lieb,ADV,242,lieb,lemma,True
dabei,ADV,243,dabei,lemma,True
Hand,NOUN,244,Hand,lemma,True
Hand,NOUN,244,Hand,genitive_singular,False
Hand,NOUN,244,Hände,nominative_plural,False
schaffen,VERB,245,schaffen,lemma,True
schaffen,VERB,245,schuf,preterite_3sg,False
schaffen,VERB,245,geschaffen,participle_ii,False
lang,ADV,246,lang,lemma,True
zeigen,VERB,247,zeigen,lemma,True
zeigen,VERB,247,zeigte,preterite_3sg,False
zeigen,VERB,247,gezeigt,participle_ii,False
Stunde,NOUN,248,Stunde,lemma,True
Stunde,NOUN,248,Stunde,genitive_singular,False
Stunde,NOUN,248,Stunden,nominative_plural,False
sofort,ADV,249,sofort,lemma,True
fühlen,VERB,250,fühlen,lemma,True
fühlen,VERB,250,fühlte,preterite_3sg,False
fühlen,VERB,250,gefühlt,participle_ii,False
rufen,VERB,251,rufen,lemma,True
rufen,VERB,251,rief,preterite_3sg,False
rufen,VERB,251,gerufen,participle_ii,False
bevor,SCONJ,252,bevor,lemma,True
entschuldigen,VERB,253,entschuldigen,lemma,True
entschuldigen,VERB,253,entschuldigte,preterite_3sg,False
entschuldigen,VERB,253,entschuldigt,participle_ii,False
einmal,ADV,254,einmal,lemma,True
Woche,NOUN,255,Woche,lemma,True
Woche,NOUN,255,Woche,genitive_singular,False
Woche,NOUN,255,Wochen,nominative_plural,False
Sohn,NOUN,256,Sohn,lemma,True
Sohn,NOUN,256,Sohnes,genitive_singular,False
Sohn,NOUN,256,Söhne,nominative_plural,False
wann,SCONJ,257,wann,lemma,True
Auge,NOUN,258,Auge,lemma,True
Auge,NOUN,258,Auges,genitive_singular,False
Auge,NOUN,258,Augen,nominative_plural,False
Minute,NOUN,259,Minute,lemma,True
Minute,NOUN,259,Minute,genitive_singular,False
Minute,NOUN,259,Minuten,nominative_plural,False
fertig,ADV,260,fertig,lemma,True
halt,ADV,261,halt,lemma,True
allein,ADV,262,allein,lemma,True
Fall,NOUN,263,Fall,lemma,True
Fall,NOUN,263,Falls,genitive_singular,False
Fall,NOUN,263,Fälle,nominative_plural,False
lieben,VERB,264,lieben,lemma,True
lieben,VERB,264,liebte,preterite_3sg,False
lieben,VERB,264,geliebt,participle_ii,False
Hilfe,NOUN,265,Hilfe,lemma,True
Hilfe,NOUN,265,Hilfe,genitive_singular,False
Hilfe,NOUN,265,Hilfen,nominative_plural,False
Bruder,NOUN,266,Bruder,lemma,True
Bruder,NOUN,266,Bruders,genitive_singular,False
Bruder,NOUN,266,Brüder,nominative_plural,False
sein,AUX,267,sein,lemma,True
sein,AUX,267,war,preterite_3sg,False
sein,AUX,267,gewesen,participle_ii,False
gern,ADV,268,gern,lemma,True
darüber,ADV,269,darüber,lemma,True
sehen,VERB,270,sehen,lemma,True
sehen,VERB,270,sah,preterite_3sg,False
sehen,VERB,270,gesehen,participle_ii,False
wissen,AUX,271,wissen,lemma,True
wissen,AUX,271,wusste,preterite_3sg,False
wissen,AUX,271,gewusst,participle_ii,False
wahr,ADV,272,wahr,lemma,True
dazu,ADV,273,dazu,lemma,True
daran,ADV,274,daran,lemma,True
nennen,VERB,275,nennen,lemma,True
nennen,VERB,275,nannte,preterite_3sg,False
nennen,VERB,275,genannt,participle_ii,False
dank,ADP,276,dank,lemma,True
hoffen,VERB,277,hoffen,lemma,True
hoffen,VERB,277,hoffte,preterite_3sg,False
hoffen,VERB,277,gehofft,participle_ii,False
früh,ADV,278,früh,lemma,True
dein,PRON,279,dein,lemma,True
kriegen,VERB,280,kriegen,lemma,True
kriegen,VERB,280,kriegte,preterite_3sg,False
kriegen,VERB,280,gekriegt,participle_ii,False
egal,ADV,281,egal,lemma,True
vergessen,VERB,282,vergessen,lemma,True
vergessen,VERB,282,vergaß,preterite_3sg,False
vergessen,VERB,282,vergessen,participle_ii,False
toll,ADV,283,toll,lemma,True
Frage,NOUN,284,Frage,lemma,True
Frage,NOUN,284,Frage,genitive_singular,False
Frage,NOUN,284,Fragen,nominative_plural,False
Stadt,NOUN,285,Stadt,lemma,True
Stadt,NOUN,285,Stadt,genitive_singular,False
Stadt,NOUN,285,Städte,nominative_plural,False
sieh,VERB,286,sieh,lemma,True
sieh,VERB,286,sah,preterite_3sg,False
sieh,VERB,286,gesehen,participle_ii,False
echt,ADV,287,echt,lemma,True
gib,VERB,288,gib,lemma,True
gib,VERB,288,gab,preterite_3sg,False
gib,VERB,288,gegeben,participle_ii,False
eigentlich,ADV,289,eigentlich,lemma,True
ziehen,VERB,290,ziehen,lemma,True
ziehen,VERB,290,zog,preterite_3sg,False
ziehen,VERB,290,gezogen,participle_ii,False
Uhr,NOUN,291,Uhr,lemma,True
Uhr,NOUN,291,Uhr,genitive_singular,False
Uhr,NOUN,291,Uhren,nominative_plural,False
der,PRON,292,der,lemma,True
schlafen,VERB,293,schlafen,lemma,True
schlafen,VERB,293,schlief,preterite_3sg,False
schlafen,VERB,293,geschlafen,participle_ii,False
Tür,NOUN,294,Tür,lemma,True
Tür,NOUN,294,Tür,genitive_singular,False
Tür,NOUN,294,Türen,nominative_plural,False
Kopf,NOUN,295,Kopf,lemma,True
Kopf,NOUN,295,Kopfes,genitive_singular,False
Kopf,NOUN,295,Köpfe,nominative_plural,False
setzen,VERB,296,setzen,lemma,True
setzen,VERB,296,setzte,preterite_3sg,False
setzen,VERB,296,gesetzt,participle_ii,False
erinnern,VERB,297,erinnern,lemma,True
erinnern,VERB,297,erinnerte,preterite_3sg,False
erinnern,VERB,297,erinnert,participle_ii,False
schreiben,VERB,298,schreiben,lemma,True
schreiben,VERB,298,schrieb,preterite_3sg,False
schreiben,VERB,298,geschrieben,participle_ii,False
keiner,PRON,299,keiner,lemma,True
Glück,NOUN,300,Glück,lemma,True
Glück,NOUN,300,Glücks,genitive_singular,False
Glück,NOUN,300,Glücke,nominative_plural,False
Wort,NOUN,301,Wort,lemma,True
Wort,NOUN,301,Wortes,genitive_singular,False
Wort,NOUN,301,Wörter,nominative_plural,False
einzig,ADJ,302,einzig,lemma,True
retten,VERB,303,retten,lemma,True
retten,VERB,303,rettete,preterite_3sg,False
retten,VERB,303,gerettet,participle_ii,False
darauf,ADV,304,darauf,lemma,True
Ende,NOUN,305,Ende,lemma,True
Ende,NOUN,305,Endes,genitive_singular,False
Ende,NOUN,305,Enden,nominative_plural,False
sitzen,VERB,306,sitzen,lemma,True
sitzen,VERB,306,saß,preterite_3sg,False
sitzen,VERB,306,gesessen,participle_ii,False
groß,ADJ,307,groß,lemma,True
bald,ADV,308,bald,lemma,True
müssen,AUX,309,müssen,lemma,True
müssen,AUX,309,musste,preterite_3sg,False
müssen,AUX,309,gemusst,participle_ii,False
Ding,NOUN,310,Ding,lemma,True
Ding,NOUN,310,Dinges,genitive_singular,False
Ding,NOUN,310,Dinge,nominative_plural,False
meines,ADV,311,meines,lemma,True
bedeuten,VERB,312,bedeuten,lemma,True
bedeuten,VERB,312,bedeutete,preterite_3sg,False
bedeuten,VERB,312,bedeutet,participle_ii,False
Idee,NOUN,313,Idee,lemma,True
Idee,NOUN,313,Idee,genitive_singular,False
Idee,NOUN,313,Ideen,nominative_plural,False
bereit,ADJ,314,bereit,lemma,True
Waffe,NOUN,315,Waffe,lemma,True
Waffe,NOUN,315,Waffe,genitive_singular,False
Waffe,NOUN,315,Waffen,nominative_plural,False
Schwester,NOUN,316,Schwester,lemma,True
Schwester,NOUN,316,Schwester,genitive_singular,False
Schwester,NOUN,316,Schwestern,nominative_plural,False
weit,ADV,317,weit,lemma,True
Ahnung,NOUN,318,Ahnung,lemma,True
Ahnung,NOUN,318,Ahnung,genitive_singular,False
Ahnung,NOUN,318,Ahnungen,nominative_plural,False
lernen,VERB,319,lernen,lemma,True
lernen,VERB,319,lernte,preterite_3sg,False
lernen,VERB,319,gelernt,participle_ii,False
Bisschen,PRON,320,Bisschen,lemma,True
verschwinden,VERB,321,verschwinden,lemma,True
verschwinden,VERB,321,verschwand,preterite_3sg,False
verschwinden,VERB,321,verschwunden,participle_ii,False
Monat,NOUN,322,Monat,lemma,True
Monat,NOUN,322,Monats,genitive_singular,False
Monat,NOUN,322,Monate,nominative_plural,False
Polizei,NOUN,323,Polizei,lemma,True
Polizei,NOUN,323,Polizei,genitive_singular,False
Polizei,NOUN,323,Polizeien,nominative_plural,False
kümmern,VERB,324,kümmern,lemma,True
kümmern,VERB,324,kümmerte,preterite_3sg,False
kümmern,VERB,324,gekümmert,participle_ii,False
draußen,ADV,325,draußen,lemma,True
Erster,ADJ,326,Erster,lemma,True
fast,ADV,327,fast,lemma,True
klein,ADV,328,klein,lemma,True
runter,ADV,329,runter,lemma,True
führen,VERB,330,führen,lemma,True
führen,VERB,330,führte,preterite_3sg,False
